day,hour,value
0,0,0
0,1,0
0,2,0
0,3,0
0,4,0
0,5,0
0,6,0
0,7,0
0,8,142
0,9,726
0,10,691
0,11,0
0,12,342
0,13,278
0,14,407
0,15,313
0,16,281
0,17,197
0,18,398
0,19,54
0,20,47
0,21,147
0,22,1362
0,23,0
1,0,19
1,1,0
1,2,0
1,3,0
1,4,0
1,5,0
1,6,119
1,7,466
1,8,191
1,9,316
1,10,606
1,11,58
1,12,285
1,13,239
1,14,342
1,15,311
1,16,929
1,17,176
1,18,262
1,19,218
1,20,841
1,21,1283
1,22,378
1,23,0
2,0,306
2,1,0
2,2,0
2,3,0
2,4,0
2,5,0
2,6,104
2,7,185
2,8,149
2,9,1130
2,10,1360
2,11,172
2,12,211
2,13,107
2,14,785
2,15,605
2,16,582
2,17,219
2,18,482
2,19,161
2,20,277
2,21,390
2,22,444
2,23,48
3,0,0
3,1,0
3,2,0
3,3,0
3,4,0
3,5,0
3,6,1428
3,7,1815
3,8,34
3,9,97
3,10,535
3,11,92
3,12,418
3,13,1703
3,14,1668
3,15,440
3,16,314
3,17,387
3,18,365
3,19,224
3,20,127
3,21,168
3,22,306
3,23,118
4,0,0
4,1,0
4,2,0
4,3,0
4,4,0
4,5,0
4,6,692
4,7,287
4,8,222
4,9,1010
4,10,942
4,11,372
4,12,737
4,13,2160
4,14,1166
4,15,221
4,16,604
4,17,1199
4,18,785
4,19,126
4,20,121
4,21,423
4,22,148
4,23,0
5,0,0
5,1,0
5,2,0
5,3,0
5,4,0
5,5,0
5,6,91
5,7,319
5,8,2490
5,9,788
5,10,381
5,11,279
5,12,364
5,13,3288
5,14,390
5,15,263
5,16,1913
5,17,520
5,18,795
5,19,555
5,20,160
5,21,2024
5,22,33
5,23,747
6,0,0
6,1,0
6,2,0
6,3,0
6,4,0
6,5,0
6,6,796
6,7,0
6,8,99
6,9,276
6,10,277
6,11,1443
6,12,139
6,13,1058
6,14,538
6,15,888
6,16,1224
6,17,1730
6,18,423
6,19,361
6,20,307
6,21,1557
6,22,306
6,23,50
